,Date,Hour,Min,Event Type,
,2020-06-02,9.0,1,Gloves,
,2020-06-02,9.0,1,Other damage,
,2020-06-02,9.0,49,SocialDistancing,
,2020-06-02,9.0,45,Speeding,
,2020-06-02,1.0,16,SocialDistancing,
,2020-06-02,0.0,1,SocialDistancing,
,2020-06-03,22.0,2,SocialDistancing,
,2020-06-03,21.0,15,SocialDistancing,
,2020-06-03,20.0,1,SocialDistancing,
,2020-06-03,12.0,2,Handcart Riding,
,2020-06-03,12.0,4,Handcart Riding,
,2020-06-03,12.0,6,SocialDistancing,
,2020-06-03,12.0,13,Speeding,
,2020-06-03,12.0,1,Speeding,
,2020-06-03,11.0,6,FaceMask,
,2020-06-03,11.0,22,SocialDistancing,
,2020-06-03,11.0,19,Speeding,
,2020-06-03,10.0,15,FaceMask,
,2020-06-03,10.0,49,SocialDistancing,
,2020-06-03,10.0,15,Speeding,
,2020-06-03,9.0,1,Driver entering,
,2020-06-03,9.0,46,FaceMask,
,2020-06-03,9.0,1,Gloves,
,2020-06-03,9.0,128,SocialDistancing,
,2020-06-03,9.0,39,Speeding,
,2020-06-04,23.0,7,SocialDistancing,
,2020-06-04,22.0,3,SocialDistancing,
,2020-06-04,21.0,6,SocialDistancing,
,2020-06-04,20.0,3,SocialDistancing,
,2020-06-04,19.0,2,SocialDistancing,
,2020-06-04,12.0,2,Driver entering,
,2020-06-04,12.0,8,FaceMask,
,2020-06-04,12.0,6,SocialDistancing,
,2020-06-04,12.0,1,SocialDistancing,
,2020-06-04,12.0,1,Speeding,
,2020-06-04,12.0,2,Speeding,
,2020-06-04,11.0,16,FaceMask,
,2020-06-04,11.0,1,FaceMask,
,2020-06-04,11.0,1,Other damage,
,2020-06-04,11.0,5,SocialDistancing,
,2020-06-04,11.0,4,Speeding,
,2020-06-04,10.0,1,FaceMask,
,2020-06-04,10.0,18,FaceMask,
,2020-06-04,10.0,1,Other damage,
,2020-06-04,10.0,16,SocialDistancing,
,2020-06-04,10.0,8,Speeding,
,2020-06-04,10.0,2,Speeding,
,2020-06-04,9.0,80,FaceMask,
,2020-06-04,9.0,2,FaceMask,
,2020-06-04,9.0,55,SocialDistancing,
,2020-06-04,9.0,4,SocialDistancing,
,2020-06-04,9.0,2,Speeding,
,2020-06-04,9.0,9,Speeding,
,2020-06-04,9.0,2,Speeding,
,2020-06-04,1.0,1,SocialDistancing,
,2020-06-04,0.0,4,SocialDistancing,
,2020-06-05,23.0,1,FaceMask,
,2020-06-05,23.0,3,SocialDistancing,
,2020-06-05,22.0,7,SocialDistancing,
,2020-06-05,21.0,2,FaceMask,
,2020-06-05,21.0,2,SocialDistancing,
,2020-06-05,12.0,1,FaceMask,
,2020-06-05,12.0,9,SocialDistancing,
,2020-06-05,12.0,1,Speeding,
,2020-06-05,12.0,7,Speeding,
,2020-06-05,11.0,1,FaceMask,
,2020-06-05,11.0,14,SocialDistancing,
,2020-06-05,11.0,2,Speeding,
,2020-06-05,10.0,4,FaceMask,
,2020-06-05,10.0,1,Gloves,
,2020-06-05,10.0,6,SocialDistancing,
,2020-06-05,10.0,4,Speeding,
,2020-06-05,9.0,21,FaceMask,
,2020-06-05,9.0,2,Gloves,
,2020-06-05,9.0,99,SocialDistancing,
,2020-06-05,9.0,18,Speeding,
,2020-06-05,1.0,8,SocialDistancing,
,2020-06-05,0.0,4,SocialDistancing,
,2020-06-06,18.0,2,FaceMask,
,2020-06-06,11.0,1,FaceMask,
